Poland,  Population size (1-year)     Last modified: 08-Jul-2011, MPv5 (May07)

Year     Age      Female         Male        Total
1958       0     359456.33    377023.94    736480.27
1958       1     351124.20    367703.92    718828.12
1958       2     356803.31    374061.77    730865.08
1958       3     346902.93    360688.38    707591.31
1958       4     346379.78    360308.14    706687.92
1958       5     341645.61    356190.99    697836.60
1958       6     336917.58    348999.98    685917.56
1958       7     331434.49    345368.82    676803.31
1958       8     309344.38    320700.73    630045.11
1958       9     306650.39    318910.72    625561.11
1958      10     285326.36    295670.67    580997.03
1958      11     264620.35    271293.59    535913.94
1958      12     194481.30    199660.53    394141.83
1958      13     193872.29    197369.53    391241.82
1958      14     186774.31    190000.60    376774.91
1958      15     187437.36    190907.79    378345.15
1958      16     196492.43    201679.86    398172.29
1958      17     212348.48    219925.17    432273.65
1958      18     213597.55    225715.39    439312.94
1958      19     216873.62    225256.52    442130.14
1958      20     220545.60    225256.63    445802.23
1958      21     229276.74    229325.58    458602.32
1958      22     229171.74    230248.59    459420.33
1958      23     225886.76    226315.65    452202.41
1958      24     224074.84    226063.61    450138.45
1958      25     237930.91    238512.82    476443.73
1958      26     238855.93    242059.82    480915.75
1958      27     254772.05    255503.88    510275.93
1958      28     240036.02    238700.90    478736.92
1958      29     240908.12    234149.08    475057.20
1958      30     227359.06    213978.87    441337.93
1958      31     232842.10    207681.87    440523.97
1958      32     247259.27    215925.04    463184.31
1958      33     230457.27    198572.99    429030.26
1958      34     228627.35    197962.98    426590.33
1958      35     221627.33    191255.94    412883.27
1958      36     185924.21    166385.72    352309.93
1958      37     190714.32    171751.91    362466.23
1958      38     168162.24    146667.93    314830.17
1958      39     124989.99    105730.34    230720.33
1958      40     119125.99    104855.44    223981.43
1958      41     129275.17    109583.62    238858.79
1958      42     143954.37    119954.93    263909.30
1958      43     185171.89    153785.66    338957.55
1958      44     180742.95    158317.90    339060.85
1958      45     198320.36    168481.35    366801.71
1958      46     180488.21    161751.56    342239.77
1958      47     195154.74    172281.07    367435.81
1958      48     184011.89    167927.58    351939.47
1958      49     181461.95    161963.84    343425.79
1958      50     180668.17    164630.22    345298.39
1958      51     174206.35    155289.56    329495.91
1958      52     165894.20    144302.70    310196.90
1958      53     163232.68    142984.05    306216.73
1958      54     154569.84    135306.36    289876.20
1958      55     158092.19    134749.06    292841.25
1958      56     142922.31    120904.02    263826.33
1958      57     161019.96    121866.64    282886.60
1958      58     125739.94    102009.46    227749.40
1958      59     128346.32     98588.70    226935.02
1958      60     121433.47     93292.02    214725.49
1958      61     117535.92     86107.03    203642.95
1958      62     112529.13     80801.15    193330.28
1958      63      99919.14     72020.78    171939.92
